,iso2,year,sex,age,cases
17066,AD,1996,f,0-14,0
0,AD,1996,m,0-14,0
19504,AD,1996,f,15-24,1
2438,AD,1996,m,15-24,0
21942,AD,1996,f,25-34,1
4876,AD,1996,m,25-34,0
24380,AD,1996,f,35-44,0
7314,AD,1996,m,35-44,4
26818,AD,1996,f,45-54,0
9752,AD,1996,m,45-54,1
29256,AD,1996,f,55-64,1
12190,AD,1996,m,55-64,0
31694,AD,1996,f,65+,0
14628,AD,1996,m,65+,0
17067,AD,1997,f,0-14,0
1,AD,1997,m,0-14,0
19505,AD,1997,f,15-24,1
2439,AD,1997,m,15-24,0
21943,AD,1997,f,25-34,2
4877,AD,1997,m,25-34,1
24381,AD,1997,f,35-44,3
7315,AD,1997,m,35-44,2
26819,AD,1997,f,45-54,0
9753,AD,1997,m,45-54,2
29257,AD,1997,f,55-64,0
12191,AD,1997,m,55-64,1
31695,AD,1997,f,65+,1
14629,AD,1997,m,65+,6
17068,AD,1998,f,0-14,0
2,AD,1998,m,0-14,0
19506,AD,1998,f,15-24,0
2440,AD,1998,m,15-24,0
21944,AD,1998,f,25-34,0
4878,AD,1998,m,25-34,0
24382,AD,1998,f,35-44,0
7316,AD,1998,m,35-44,1
26820,AD,1998,f,45-54,0
9754,AD,1998,m,45-54,0
29258,AD,1998,f,55-64,0
12192,AD,1998,m,55-64,0
31696,AD,1998,f,65+,0
14630,AD,1998,m,65+,0
17069,AD,1999,f,0-14,0
3,AD,1999,m,0-14,0
19507,AD,1999,f,15-24,0
2441,AD,1999,m,15-24,0
21945,AD,1999,f,25-34,0
4879,AD,1999,m,25-34,0
24383,AD,1999,f,35-44,1
7317,AD,1999,m,35-44,1
26821,AD,1999,f,45-54,0
9755,AD,1999,m,45-54,1
29259,AD,1999,f,55-64,0
12193,AD,1999,m,55-64,0
31697,AD,1999,f,65+,0
14631,AD,1999,m,65+,0
17070,AD,2000,f,0-14,0
4,AD,2000,m,0-14,0
19508,AD,2000,f,15-24,0
2442,AD,2000,m,15-24,0
21946,AD,2000,f,25-34,0
4880,AD,2000,m,25-34,1
24384,AD,2000,f,35-44,0
7318,AD,2000,m,35-44,0
26822,AD,2000,f,45-54,0
9756,AD,2000,m,45-54,0
29260,AD,2000,f,55-64,0
12194,AD,2000,m,55-64,0
31698,AD,2000,f,65+,0
14632,AD,2000,m,65+,0
17071,AD,2001,f,0-14,0
5,AD,2001,m,0-14,0
19509,AD,2001,f,15-24,0
2443,AD,2001,m,15-24,0
21947,AD,2001,f,25-34,0
4881,AD,2001,m,25-34,0
24385,AD,2001,f,35-44,0
7319,AD,2001,m,35-44,2
26823,AD,2001,f,45-54,0
9757,AD,2001,m,45-54,1
29261,AD,2001,f,55-64,0
12195,AD,2001,m,55-64,0
31699,AD,2001,f,65+,0
14633,AD,2001,m,65+,0
17072,AD,2002,f,0-14,0
6,AD,2002,m,0-14,0
19510,AD,2002,f,15-24,1
2444,AD,2002,m,15-24,0
21948,AD,2002,f,25-34,0
4882,AD,2002,m,25-34,0
24386,AD,2002,f,35-44,0
7320,AD,2002,m,35-44,1
26824,AD,2002,f,45-54,0
9758,AD,2002,m,45-54,0
29262,AD,2002,f,55-64,0
12196,AD,2002,m,55-64,0
31700,AD,2002,f,65+,0
14634,AD,2002,m,65+,0
17073,AD,2003,f,0-14,0
7,AD,2003,m,0-14,0
19511,AD,2003,f,15-24,1
2445,AD,2003,m,15-24,0
21949,AD,2003,f,25-34,1
4883,AD,2003,m,25-34,0
24387,AD,2003,f,35-44,1
7321,AD,2003,m,35-44,1
26825,AD,2003,f,45-54,0
9759,AD,2003,m,45-54,2
29263,AD,2003,f,55-64,0
12197,AD,2003,m,55-64,0
31701,AD,2003,f,65+,0
14635,AD,2003,m,65+,0
17074,AD,2004,f,0-14,0
8,AD,2004,m,0-14,0
19512,AD,2004,f,15-24,0
2446,AD,2004,m,15-24,0
21950,AD,2004,f,25-34,1
4884,AD,2004,m,25-34,0
24388,AD,2004,f,35-44,0
7322,AD,2004,m,35-44,1
26826,AD,2004,f,45-54,0
9760,AD,2004,m,45-54,1
29264,AD,2004,f,55-64,0
12198,AD,2004,m,55-64,0
31702,AD,2004,f,65+,0
14636,AD,2004,m,65+,0
17075,AD,2005,f,0-14,0
9,AD,2005,m,0-14,0
19513,AD,2005,f,15-24,1
2447,AD,2005,m,15-24,0
21951,AD,2005,f,25-34,1
4885,AD,2005,m,25-34,1
24389,AD,2005,f,35-44,1
7323,AD,2005,m,35-44,1
26827,AD,2005,f,45-54,0
9761,AD,2005,m,45-54,0
29265,AD,2005,f,55-64,0
12199,AD,2005,m,55-64,0
31703,AD,2005,f,65+,0
14637,AD,2005,m,65+,0
17076,AD,2006,f,0-14,0
10,AD,2006,m,0-14,0
19514,AD,2006,f,15-24,0
2448,AD,2006,m,15-24,1
21952,AD,2006,f,25-34,1
4886,AD,2006,m,25-34,1
24390,AD,2006,f,35-44,0
7324,AD,2006,m,35-44,2
26828,AD,2006,f,45-54,1
9762,AD,2006,m,45-54,0
29266,AD,2006,f,55-64,0
12200,AD,2006,m,55-64,1
31704,AD,2006,f,65+,0
14638,AD,2006,m,65+,1
17077,AD,2007,f,0-14,0
11,AD,2007,m,0-14,0
19515,AD,2007,f,15-24,0
2449,AD,2007,m,15-24,0
21953,AD,2007,f,25-34,1
4887,AD,2007,m,25-34,0
24391,AD,2007,f,35-44,0
7325,AD,2007,m,35-44,0
26829,AD,2007,f,45-54,1
9763,AD,2007,m,45-54,0
29267,AD,2007,f,55-64,0
12201,AD,2007,m,55-64,0
31705,AD,2007,f,65+,0
14639,AD,2007,m,65+,0
17078,AD,2008,f,0-14,0
12,AD,2008,m,0-14,0
19516,AD,2008,f,15-24,0
2450,AD,2008,m,15-24,0
21954,AD,2008,f,25-34,0
4888,AD,2008,m,25-34,0
24392,AD,2008,f,35-44,1
7326,AD,2008,m,35-44,0
26830,AD,2008,f,45-54,1
9764,AD,2008,m,45-54,1
29268,AD,2008,f,55-64,0
12202,AD,2008,m,55-64,0
31706,AD,2008,f,65+,0
14640,AD,2008,m,65+,0
17079,AE,1999,f,0-14,9
13,AE,1999,m,0-14,4
19517,AE,1999,f,15-24,11
2451,AE,1999,m,15-24,9
21955,AE,1999,f,25-34,5
4889,AE,1999,m,25-34,3
24393,AE,1999,f,35-44,3
7327,AE,1999,m,35-44,2
26831,AE,1999,f,45-54,0
9765,AE,1999,m,45-54,4
29269,AE,1999,f,55-64,3
12203,AE,1999,m,55-64,6
31707,AE,1999,f,65+,2
14641,AE,1999,m,65+,5
17080,AE,2000,f,0-14,3
14,AE,2000,m,0-14,2
19518,AE,2000,f,15-24,16
2452,AE,2000,m,15-24,4
21956,AE,2000,f,25-34,1
4890,AE,2000,m,25-34,4
24394,AE,2000,f,35-44,3
7328,AE,2000,m,35-44,6
26832,AE,2000,f,45-54,0
9766,AE,2000,m,45-54,5
29270,AE,2000,f,55-64,0
12204,AE,2000,m,55-64,12
31708,AE,2000,f,65+,4
14642,AE,2000,m,65+,10
17081,AE,2002,f,0-14,3
15,AE,2002,m,0-14,1
19519,AE,2002,f,15-24,3
2453,AE,2002,m,15-24,2
21957,AE,2002,f,25-34,8
4891,AE,2002,m,25-34,0
24395,AE,2002,f,35-44,3
7329,AE,2002,m,35-44,6
26833,AE,2002,f,45-54,4
9767,AE,2002,m,45-54,6
29271,AE,2002,f,55-64,10
12205,AE,2002,m,55-64,10
31709,AE,2002,f,65+,1
14643,AE,2002,m,65+,0
17082,AE,2003,f,0-14,4
16,AE,2003,m,0-14,2
19520,AE,2003,f,15-24,9
2454,AE,2003,m,15-24,10
21958,AE,2003,f,25-34,5
4892,AE,2003,m,25-34,8
24396,AE,2003,f,35-44,3
7330,AE,2003,m,35-44,12
26834,AE,2003,f,45-54,3
9768,AE,2003,m,45-54,3
29272,AE,2003,f,55-64,2
12206,AE,2003,m,55-64,2
31710,AE,2003,f,65+,4
14644,AE,2003,m,65+,10
17083,AE,2004,f,0-14,3
17,AE,2004,m,0-14,1
19521,AE,2004,f,15-24,6
2455,AE,2004,m,15-24,7
21959,AE,2004,f,25-34,2
4893,AE,2004,m,25-34,6
24397,AE,2004,f,35-44,7
7331,AE,2004,m,35-44,7
26835,AE,2004,f,45-54,2
9769,AE,2004,m,45-54,3
29273,AE,2004,f,55-64,2
12207,AE,2004,m,55-64,1
31711,AE,2004,f,65+,3
14645,AE,2004,m,65+,7
17084,AE,2006,f,0-14,2
18,AE,2006,m,0-14,0
19522,AE,2006,f,15-24,6
2456,AE,2006,m,15-24,5
21960,AE,2006,f,25-34,4
4894,AE,2006,m,25-34,3
24398,AE,2006,f,35-44,5
7332,AE,2006,m,35-44,7
26836,AE,2006,f,45-54,3
9770,AE,2006,m,45-54,3
29274,AE,2006,f,55-64,4
12208,AE,2006,m,55-64,1
31712,AE,2006,f,65+,5
14646,AE,2006,m,65+,4
17085,AE,2007,f,0-14,1
19,AE,2007,m,0-14,2
19523,AE,2007,f,15-24,8
2457,AE,2007,m,15-24,5
21961,AE,2007,f,25-34,6
4895,AE,2007,m,25-34,6
24399,AE,2007,f,35-44,3
7333,AE,2007,m,35-44,3
26837,AE,2007,f,45-54,2
9771,AE,2007,m,45-54,4
29275,AE,2007,f,55-64,0
12209,AE,2007,m,55-64,3
31713,AE,2007,f,65+,0
14647,AE,2007,m,65+,10
17086,AE,2008,f,0-14,0
20,AE,2008,m,0-14,0
19524,AE,2008,f,15-24,10
2458,AE,2008,m,15-24,6
21962,AE,2008,f,25-34,4
4896,AE,2008,m,25-34,1
24400,AE,2008,f,35-44,1
7334,AE,2008,m,35-44,7
26838,AE,2008,f,45-54,1
9772,AE,2008,m,45-54,5
29276,AE,2008,f,55-64,3
12210,AE,2008,m,55-64,3
31714,AE,2008,f,65+,3
14648,AE,2008,m,65+,6
17087,AF,1997,f,0-14,5
21,AF,1997,m,0-14,0
19525,AF,1997,f,15-24,38
2459,AF,1997,m,15-24,10
21963,AF,1997,f,25-34,36
4897,AF,1997,m,25-34,6
24401,AF,1997,f,35-44,14
7335,AF,1997,m,35-44,3
26839,AF,1997,f,45-54,8
9773,AF,1997,m,45-54,5
29277,AF,1997,f,55-64,0
12211,AF,1997,m,55-64,2
31715,AF,1997,f,65+,1
14649,AF,1997,m,65+,0
17088,AF,1998,f,0-14,45
22,AF,1998,m,0-14,30
19526,AF,1998,f,15-24,350
2460,AF,1998,m,15-24,129
21964,AF,1998,f,25-34,419
4898,AF,1998,m,25-34,128
24402,AF,1998,f,35-44,194
7336,AF,1998,m,35-44,90
26840,AF,1998,f,45-54,118
9774,AF,1998,m,45-54,89
29278,AF,1998,f,55-64,61
12212,AF,1998,m,55-64,64
31716,AF,1998,f,65+,20
14650,AF,1998,m,65+,41
17089,AF,1999,f,0-14,25
23,AF,1999,m,0-14,8
19527,AF,1999,f,15-24,139
2461,AF,1999,m,15-24,55
21965,AF,1999,f,25-34,160
4899,AF,1999,m,25-34,55
24403,AF,1999,f,35-44,110
7337,AF,1999,m,35-44,47
26841,AF,1999,f,45-54,50
9775,AF,1999,m,45-54,34
29279,AF,1999,f,55-64,25
12213,AF,1999,m,55-64,21
31717,AF,1999,f,65+,8
14651,AF,1999,m,65+,8
17090,AF,2000,f,0-14,93
24,AF,2000,m,0-14,52
19528,AF,2000,f,15-24,414
2462,AF,2000,m,15-24,228
21966,AF,2000,f,25-34,565
4900,AF,2000,m,25-34,183
24404,AF,2000,f,35-44,339
7338,AF,2000,m,35-44,149
26842,AF,2000,f,45-54,205
9776,AF,2000,m,45-54,129
29280,AF,2000,f,55-64,99
12214,AF,2000,m,55-64,94
31718,AF,2000,f,65+,36
14652,AF,2000,m,65+,80
17091,AF,2001,f,0-14,146
25,AF,2001,m,0-14,129
19529,AF,2001,f,15-24,799
2463,AF,2001,m,15-24,379
21967,AF,2001,f,25-34,888
4901,AF,2001,m,25-34,349
24405,AF,2001,f,35-44,586
7339,AF,2001,m,35-44,274
26843,AF,2001,f,45-54,375
9777,AF,2001,m,45-54,204
29281,AF,2001,f,55-64,179
12215,AF,2001,m,55-64,139
31719,AF,2001,f,65+,89
14653,AF,2001,m,65+,103
17092,AF,2002,f,0-14,192
26,AF,2002,m,0-14,90
19530,AF,2002,f,15-24,1119
2464,AF,2002,m,15-24,476
21968,AF,2002,f,25-34,1251
4902,AF,2002,m,25-34,481
24406,AF,2002,f,35-44,792
7340,AF,2002,m,35-44,368
26844,AF,2002,f,45-54,526
9778,AF,2002,m,45-54,246
29282,AF,2002,f,55-64,320
12216,AF,2002,m,55-64,241
31720,AF,2002,f,65+,218
14654,AF,2002,m,65+,189
17093,AF,2003,f,0-14,245
27,AF,2003,m,0-14,127
19531,AF,2003,f,15-24,1152
2465,AF,2003,m,15-24,511
21969,AF,2003,f,25-34,1287
4903,AF,2003,m,25-34,436
24407,AF,2003,f,35-44,814
7341,AF,2003,m,35-44,284
26845,AF,2003,f,45-54,462
9779,AF,2003,m,45-54,256
29283,AF,2003,f,55-64,305
12217,AF,2003,m,55-64,288
31721,AF,2003,f,65+,158
14655,AF,2003,m,65+,203
17094,AF,2004,f,0-14,256
28,AF,2004,m,0-14,139
19532,AF,2004,f,15-24,1360
2466,AF,2004,m,15-24,537
21970,AF,2004,f,25-34,1561
4904,AF,2004,m,25-34,568
24408,AF,2004,f,35-44,1096
7342,AF,2004,m,35-44,360
26846,AF,2004,f,45-54,645
9780,AF,2004,m,45-54,358
29284,AF,2004,f,55-64,413
12218,AF,2004,m,55-64,386
31722,AF,2004,f,65+,256
14656,AF,2004,m,65+,310
17095,AF,2005,f,0-14,320
29,AF,2005,m,0-14,151
19533,AF,2005,f,15-24,1651
2467,AF,2005,m,15-24,606
21971,AF,2005,f,25-34,1959
4905,AF,2005,m,25-34,560
24409,AF,2005,f,35-44,1302
